id,title,rating,tags,price,description,image_url,vendor,link
7.94E+12,10-Piece Cookware Set ,4.8,"Kitchen, Professional, Chef, Home",599,3-Ply stainless steel durability.,https://picsum.photos/seed/Home3/400/400,Wayfair,https://www.wayfair.com/search?q=10-Piece+Cookware+Set+#4
8.04E+12,10-Piece Cookware Set ,4.8,"Kitchen, Professional, Chef, Home",912,3-Ply stainless steel durability.,https://picsum.photos/seed/Home48/400/400,Wayfair,https://www.wayfair.com/search?q=10-Piece+Cookware+Set+#49
7.24E+12,16 Premium Silver Jhumka Set,4.6,"Jewelry, Ethnic, Earrings, Festive",1499,A curated collection of 16 pairs of silver-plated Jhumkas perfect for every traditional outfit.,https://cdn.shopify.com/s/files/1/0597/1663/2661/files/1_fcc6a72c-2378-4d97-9756-a42836bb30c7.png?v=1763985479,Meevyy,https://meevyy.com/products/premium-silver-jhumka-set
7.20E+12,18th Age Birthday Gift Hamper for Her😍,4.9,"Milestone, 18th Birthday, Adulting, Her",2499,"The ultimate ""legal age"" celebration box for her packed with premium lifestyle gifts.",https://cdn.shopify.com/s/files/1/0597/1663/2661/files/1_2f0413d6-4c7a-4bda-be0f-0e8a472d2281.png?v=1762952479,Meevyy,https://meevyy.com/products/18th-age-birthday-gift-hamper-for-her😍
7.20E+12,19 Age Birthday Gift Hamper for Her😍,4.8,"19th Birthday, Milestone, Trendy, Her",2199,A special 19th-birthday edition hamper filled with premium gifts and personalized items.,https://cdn.shopify.com/s/files/1/0597/1663/2661/files/table_top_fe8b9671-3d71-4fbf-94b4-4ee61477beee.webp?v=1759579219,Meevyy,https://meevyy.com/products/19-age-birthday-gift-hamper-for-her😍
7.25E+12,20 age Gift hamper for him 🎁,4.7,"20th Birthday, Men, Grooming, Hamper",2213,A curated selection of tech snacks and grooming items for a 20-year-old.,https://cdn.shopify.com/s/files/1/0597/1663/2661/files/inhand_1.png?v=1764325106,Meevyy,https://meevyy.com/products/20-age-gift-hamper-for-him-🎁
7.25E+12,21 Age Birthday Gift Hamper for Her😍,4.9,"21st Birthday, Milestone, Premium, Her",2599,A celebratory luxury hamper designed for a woman's milestone 21st birthday.,https://cdn.shopify.com/s/files/1/0597/1663/2661/files/table_top.png?v=1764325328,Meevyy,https://meevyy.com/products/21-age-birthday-gift-hamper-for-her😍
7.25E+12,22 Birthday Gift Box for Him,4.7,"22nd Birthday, Men, Lifestyle, Luxury",2345,A sophisticated birthday box tailored for a 22-year-old man's lifestyle.,https://cdn.shopify.com/s/files/1/0597/1663/2661/files/inhand_2.png?v=1764325501,Meevyy,https://meevyy.com/products/22-birthday-gift-box-for-him
1.04E+13,3D Moon Lamp Model 1025,4,"Decor, Friends, Kids (0-12)",22,Premium quality 3D Moon Lamp ideal for Friends and suitable for Kids (0-12).,https://picsum.photos/seed/optgift925/400/400,Snapdeal,https://www.snapdeal.com/product/3d-moon-lamp-model-1025-8687
1.02E+13,3D Moon Lamp Model 935,4.4,"Decor, Colleagues, Kids (0-12)",141,Premium quality 3D Moon Lamp ideal for Colleagues and suitable for Kids (0-12).,https://picsum.photos/seed/optgift835/400/400,Snapdeal,https://www.snapdeal.com/product/3d-moon-lamp-model-935-5575
